Sale_ID,Customer_ID,Date_of_Sale,Product,Quantity,Price,ID,Name,Email,Address,Purchase_History_1,Purchase_History_2,Purchase_History_3
244,13,2024-06-25,Monitor,1,378.32,13,Vicki Anderson,larrymiller@hotmail.com,"840 Rojas Squares Apt. 793
East Emily, AR 62112",2024-03-28,,
50,40,2024-03-22,Monitor,2,312.09,40,Bonnie Howard,patriciadavis@gibson.info,"929 Glass Plain Suite 091
Lake Maria, IL 58108",2024-06-24,2024-01-08,2024-01-08
246,40,2024-02-29,Laptop,5,199.06,40,Bonnie Howard,patriciadavis@gibson.info,"929 Glass Plain Suite 091
Lake Maria, IL 58108",2024-06-24,2024-01-08,2024-01-08
63,44,2024-01-18,Monitor,2,469.91,44,Michael Vaughn,carlsonmarisa@harris.biz,"USNV Moreno
FPO AE 33481",2024-06-03,,
180,20,2024-02-25,Laptop,3,54.19,20,Jessica Pineda,smithsamantha@gonzales-rogers.com,"487 Mary Mountain Apt. 983
East William, OR 90622",2024-06-24,2024-06-14,2024-06-04
514,45,2024-04-17,Monitor,4,411.82,45,Paul Dennis,susanyork@hotmail.com,"88831 Thomas Rue
Kyleside, DE 76310",2024-06-13,2024-05-29,2024-01-18
948,44,2024-07-28,Laptop,2,369.56,44,Michael Vaughn,carlsonmarisa@harris.biz,"USNV Moreno
FPO AE 33481",2024-06-03,,
743,38,2024-07-12,Laptop,2,375.89,38,David Patton,juliejohnson@swanson-leonard.biz,"294 Williams Street Apt. 396
Port Nancy, IN 09327",2024-06-09,2024-04-07,
833,41,2024-04-25,Monitor,3,434.92,41,Dawn Estrada,alison83@byrd-charles.com,"55094 Morton Crest Suite 430
West Jennifer, AZ 86088",2024-06-12,2024-04-24,2024-03-10
583,15,2024-02-21,Headphones,2,215.43,15,Laura Mayo,kennethgraham@yahoo.com,"8430 Smith Drive Suite 048
Walterschester, RI 54183",2024-05-13,2024-03-12,2024-01-23
720,34,2024-02-27,Smartphone,4,275.51,34,Brittany Morrison,ernest71@gmail.com,"058 Pennington Mills
Port Mark, IN 59533",2024-08-17,2024-03-17,2024-02-14
757,38,2024-02-23,Smartphone,2,433.75,38,David Patton,juliejohnson@swanson-leonard.biz,"294 Williams Street Apt. 396
Port Nancy, IN 09327",2024-06-09,2024-04-07,
719,44,2024-07-25,Monitor,4,213.57,44,Michael Vaughn,carlsonmarisa@harris.biz,"USNV Moreno
FPO AE 33481",2024-06-03,,
197,36,2024-04-18,Monitor,1,70.2,36,Jeffrey Wilson,xfisher@yahoo.com,"90226 Rachel Flats
Pattyland, MA 12828",2024-08-26,2024-08-10,2024-05-23
898,5,2024-07-15,Monitor,3,369.94,5,Ashley Swanson,jameslewis@huber.com,"Unit 4643 Box 9762
DPO AP 68135",2024-02-15,,
17,14,2024-01-25,Laptop,2,437.54,14,Cory Barnes,kathrynlewis@gmail.com,"10820 Christopher Wall Apt. 600
New Kevinton, VT 84876",2024-07-03,2024-05-16,
849,4,2024-02-02,Monitor,5,67.79,4,Evan Torres,treyes@yahoo.com,"361 Morgan Fords Apt. 377
South Marcbury, ME 98770",2024-05-16,2024-01-09,
557,25,2024-07-04,Laptop,1,278.96,25,Adrian Clark,jessica20@valdez.com,"295 Cox Camp Apt. 397
Barrberg, TN 51429",2024-01-28,2024-04-17,
780,30,2024-03-28,Laptop,2,359.88,30,Tammy Dunn,melissawells@yahoo.com,"660 Wu Islands Suite 161
North John, GA 02045",2024-05-07,,
